Phylum;Class;Order;Family;Genus;strain;name;short;conc;TPEN_conc;AUCsmean;sdAUC;maxODmean;sdmax;finalODmean;sdfinal
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;130 µM;130;0,03962938255465955;0,011758174314159469;0,049203759872223626;0,011772836783257615;0,048819440118188270;0,011475553244576541
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;140 µM;140;0,03546510104446963;0,010463303452011227;0,045059339235148252;0,010980163148571649;0,044219473613647697;0,010963112314632609
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;blank;blank;0,00417473350101538;0,001797507531959970;0,000581594774432768;0,000898826005803099;-0,002370568299613790;0,001788314009056654
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;0 µM;0;1,00000000000000000;0,000000000000000000;1,000396713493860945;0,001594070729701565;1,000396713493860945;0,001594070729701565
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;54 µM;54;0,99812145129757934;0,027289071226542217;1,002836259972364141;0,007184452825857167;1,002836259972364141;0,007184452825857167
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;60 µM;60;0,98768679024559713;0,031460447078081231;1,001478594185618132;0,014241604660196862;1,001478594185618132;0,014241604660196862
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;70 µM;70;0,98847273864780227;0,021344937372607346;1,001441444576473883;0,018024588068554288;1,001441444576473883;0,018024588068554288
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;80 µM;80;0,81306425134542026;0,195025175014956170;0,900659241279832989;0,142150340858392316;0,900659241279832989;0,142150340858392316
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;90 µM;90;0,05228673826661209;0,105544548820962328;0,075421199261272581;0,165379448286336411;0,074118071755258141;0,166098148415663588
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;100 µM;100;0,00863207650528107;0,003713699496934673;0,005568822221070261;0,004726280329984604;0,003387384017710280;0,007301936373301687
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;110 µM;110;0,00886323822121244;0,003725174580054011;0,004597859202049821;0,003660851643833347;0,001454441623908479;0,005503031451147706
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;120 µM;120;0,00725100676239672;0,002902164976168249;0,004511823110335446;0,002505488740768404;0,002210538646145724;0,007985465208729144
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;130 µM;130;0,00853926892620750;0,003899220737722143;0,005104039923973141;0,002555362155728688;0,004712061258669326;0,002451112885654206
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5004;Bacteroides thetaiotaomicron;B. thetaiotaomicron;140 µM;140;0,00829178120155030;0,004878013237581275;0,005481814103605604;0,003736040269809005;0,005185341187130396;0,003980227139990537
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;blank;blank;0,00290203026526825;0,002118586336859995;0,000548982559139603;0,000578856188008705;-0,001596169193934555;0,002477701172092468
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;0 µM;0;1,00000000000000000;0,000000000000000000;0,999087903317751658;0,010045518541456678;0,999087903317751658;0,010045518541456678
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;54 µM;54;1,00800441472689051;0,007240556948028257;1,010842262596845176;0,010447082049029706;1,010842262596845176;0,010447082049029706
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;60 µM;60;0,99252756387128083;0,011327068119374457;1,010598189373794531;0,010849758970745669;1,010598189373794531;0,010849758970745669
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;70 µM;70;0,98372594020640658;0,014895436352496096;1,011626744565127023;0,010839867930480720;1,011626744565127023;0,010839867930480720
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;80 µM;80;0,77669401166080421;0,241472129112416750;0,868028436121531133;0,174855711252512425;0,868028436121531133;0,174855711252512425
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;90 µM;90;0,04420110318145146;0,017947131559852090;0,054890211518117307;0,027939928549186522;0,054890211518117307;0,027939928549186522
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;100 µM;100;0,03117648954654473;0,009060627724924388;0,039173824716936631;0,012457215525089545;0,039173824716936631;0,012457215525089545
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;5001;Phocaeicola vulgatus;P. vulgatus;110 µM;110;0,02731644038325372;0,011327888086262774;0,033893459836225576;0,013139543327029792;0,033893459836225576;0,013139543327029792
